31.0714,55.9529,0.0,2024-05-21T17:17:48.608515
31.227,55.1564,1002.8044,2024-05-21T17:17:51.621533
31.227,55.0485,1002.8,2024-05-21T17:17:54.635126
31.3048,54.4737,1002.8049,2024-05-21T17:17:57.679660
31.3437,54.2636,1002.8203,2024-05-21T17:18:00.694614
31.5187,54.074,1002.811,2024-05-21T17:18:03.703577
31.577,53.8872,1002.7871,2024-05-21T17:18:06.714864
31.7326,53.6567,1002.7993,2024-05-21T17:18:09.736247
31.7132,53.5546,1002.8088,2024-05-21T17:18:12.756929
31.791,53.4438,1002.8239,2024-05-21T17:18:15.785721
31.9271,53.3971,1002.8205,2024-05-21T17:18:18.805749
32.0438,53.0907,1002.8327,2024-05-21T17:18:21.817995
32.1021,52.7785,1002.8251,2024-05-21T17:18:24.836173
32.0438,52.6385,1002.8098,2024-05-21T17:18:27.861679
32.2966,52.3817,1002.822,2024-05-21T17:18:30.873749
32.3744,52.513,1002.7993,2024-05-21T17:18:33.895895
32.4911,52.2679,1002.7941,2024-05-21T17:18:36.907187
32.53,52.2504,1002.788,2024-05-21T17:18:39.916952
32.7245,52.2534,1002.7976,2024-05-21T17:18:42.928010
32.8217,51.9849,1002.7934,2024-05-21T17:18:45.943182
32.8217,52.2213,1002.8234,2024-05-21T17:18:48.958086
32.9773,51.8157,1002.8017,2024-05-21T17:18:51.967527
33.0162,51.6581,1002.8564,2024-05-21T17:18:54.987474
33.1329,51.8653,1002.8337,2024-05-21T17:18:57.998395
33.269,51.7311,1002.8366,2024-05-21T17:19:01.021453
33.3274,51.6086,1002.832,2024-05-21T17:19:04.038778
33.269,51.1067,1002.8454,2024-05-21T17:19:07.052137
33.483,51.0484,1002.8039,2024-05-21T17:19:10.066053
33.5413,50.8704,1002.8559,2024-05-21T17:19:13.085387
33.6386,50.5728,1002.8093,2024-05-21T17:19:16.103512
33.7164,50.4211,1002.8381,2024-05-21T17:19:19.114113
33.7553,49.8638,1002.8435,2024-05-21T17:19:22.127982
33.7553,49.4903,1002.8872,2024-05-21T17:19:25.143067
34.047,49.4612,1002.8657,2024-05-21T17:19:28.152108
33.9886,49.0585,1002.8591,2024-05-21T17:19:31.165579
34.1248,49.1694,1002.8793,2024-05-21T17:19:34.176616
